Part Number,Customer,Sales forecast,date
EEFCT1E220R,PST/CHTT,63000.0,2025-04-01
EEFCT1E220R,PST/FOX,0.0,2025-04-01
EEFCT1E220R,PST/PEGA,0.0,2025-04-01
EEFCT1E220R,PST/QUAC,35000.0,2025-04-01
EEFCT1E220R,PICS/WAT,0.0,2025-05-01
EEFCT1E220R,PSIZ/HW,0.0,2025-05-01
EEFCT1E220R,PST/CHTT,105000.0,2025-05-01
EEFCT1E220R,PST/FOX,0.0,2025-05-01
EEFCT1E220R,PST/PEGA,0.0,2025-05-01
EEFCT1E220R,PST/QUAC,0.0,2025-05-01
EEFCT1E220R,PICS/WAT,126000.0,2025-06-01
EEFCT1E220R,PSIZ/HW,1050000.0,2025-06-01
EEFCT1E220R,PST/CHTT,105000.0,2025-06-01
EEFCT1E220R,PST/FOX,0.0,2025-06-01
EEFCT1E220R,PST/PEGA,0.0,2025-06-01
EEFCT1E220R,PST/QUAC,35000.0,2025-06-01
EEFCT1E220R,PICS/WAT,0.0,2025-07-01
EEFCT1E220R,PSIZ/HW,1050000.0,2025-07-01
EEFCT1E220R,PST/CHTT,63000.0,2025-07-01
EEFCT1E220R,PST/FOX,0.0,2025-07-01
EEFCT1E220R,PST/PEGA,0.0,2025-07-01
EEFCT1E220R,PST/QUAC,35000.0,2025-07-01
EEFCT1E220R,PICS/WAT,0.0,2025-08-01
EEFCT1E220R,PSIZ/HW,1120000.0,2025-08-01
EEFCT1E220R,PST/CHTT,105000.0,2025-08-01
EEFCT1E220R,PST/FOX,0.0,2025-08-01
EEFCT1E220R,PST/PEGA,0.0,2025-08-01
EEFCT1E220R,PST/QUAC,0.0,2025-08-01
EEFCT1E220R,PICS/WAT,0.0,2025-09-01
EEFCT1E220R,PSIZ/HW,1120000.0,2025-09-01
EEFCT1E220R,PST/CHTT,105000.0,2025-09-01
EEFCT1E220R,PST/FOX,0.0,2025-09-01
EEFCT1E220R,PST/PEGA,0.0,2025-09-01
EEFCT1E220R,PST/QUAC,35000.0,2025-09-01
EEFCX0D221R,PDG/TTIP,0.0,2025-03-01
EEFCX0D221R,PST/ACE,0.0,2025-03-01
EEFCX0D221R,PDG/TTIP,0.0,2025-04-01
EEFCX0D221R,PST/ACE,0.0,2025-04-01
EEFCX0D221R,PDG/TTIP,0.0,2025-05-01
EEFCX0D221R,PST/ACE,0.0,2025-05-01
EEFCX0D221R,PDG/TTIP,0.0,2025-06-01
EEFCX0D221R,PST/ACE,0.0,2025-06-01
EEFCX0D221R,PDG/TTIP,0.0,2025-07-01
EEFCX0D221R,PST/ACE,0.0,2025-07-01
EEFCX0D221R,PDG/TTIP,0.0,2025-08-01
EEFCX0D221R,PST/ACE,0.0,2025-08-01
EEFCX0D221R,PDG/TTIP,0.0,2025-09-01
EEFCX0D221R,PST/ACE,0.0,2025-09-01
EEFCX0D221YR,PST/PEGA,0.0,2025-03-01
EEFCX0D221YR,PST/PODA,0.0,2025-03-01
EEFCX0D221YR,PST/PEGA,0.0,2025-04-01
EEFCX0D221YR,PST/PODA,0.0,2025-04-01
EEFCX0D221YR,PST/PEGA,0.0,2025-05-01
EEFCX0D221YR,PST/PODA,0.0,2025-05-01
EEFCX0D221YR,PST/PEGA,0.0,2025-06-01
EEFCX0D221YR,PST/PODA,0.0,2025-06-01
EEFCX0D221YR,PST/PEGA,0.0,2025-07-01
EEFCX0D221YR,PST/PODA,0.0,2025-07-01
EEFCX0D221YR,PST/PEGA,0.0,2025-08-01
EEFCX0D221YR,PST/PODA,0.0,2025-08-01
EEFCX0D221YR,PST/PEGA,0.0,2025-09-01
EEFCX0D221YR,PST/PODA,0.0,2025-09-01
EEFCX0D331R,PICS/JD,0.0,2025-03-01
EEFCX0D331R,PST/PODA,7000.0,2025-03-01
EEFCX0D331R,PICS/JD,0.0,2025-04-01
EEFCX0D331R,PST/PODA,7000.0,2025-04-01
EEFCX0D331R,PICS/JD,0.0,2025-05-01
EEFCX0D331R,PST/PODA,0.0,2025-05-01
EEFCX0D331R,PICS/JD,0.0,2025-06-01
EEFCX0D331R,PST/PODA,0.0,2025-06-01
EEFCX0D331R,PICS/JD,0.0,2025-07-01
EEFCX0D331R,PST/PODA,0.0,2025-07-01
EEFCX0D331R,PICS/JD,0.0,2025-08-01
EEFCX0D331R,PST/PODA,0.0,2025-08-01
EEFCX0D331R,PICS/JD,0.0,2025-09-01
EEFCX0D331R,PST/PODA,0.0,2025-09-01
EEFCX0E221R,PSIZ/HOS,0.0,2025-03-01
EEFCX0E221R,PSIZ/LCS,0.0,2025-03-01
EEFCX0E221R,PST/PODA,0.0,2025-03-01
EEFCX0E221R,PSIZ/HOS,0.0,2025-04-01
EEFCX0E221R,PSIZ/LCS,0.0,2025-04-01
EEFCX0E221R,PST/PODA,0.0,2025-04-01
