,variable_name,value
190,"if_make_order_arrive[6,s2,7]",0.0
191,"if_make_order_arrive[6,s2,8]",0.0
192,"if_make_order_arrive[7,s1,7]",0.0014546669587828193
193,"if_make_order_arrive[7,s1,8]",0.0
194,"if_make_order_arrive[7,s2,7]",0.0
195,"if_make_order_arrive[7,s2,8]",0.0
196,"if_make_order_arrive[8,s1,8]",0.0
197,"if_make_order_arrive[8,s2,8]",0.0
198,inventory[0],0.0
199,inventory[1],0.0
200,inventory[2],0.0
201,inventory[3],0.0
202,inventory[4],0.0
203,inventory[5],0.0
204,inventory[6],0.0
205,inventory[7],0.0
206,inventory[8],0.0
207,backlog[0],203.3469093
208,backlog[1],424.93239742000003
209,backlog[2],700.27278523
210,backlog[3],401.24788523000007
211,backlog[4],0.0
212,backlog[5],0.0
213,backlog[6],0.0
214,backlog[7],0.0
215,backlog[8],0.0
